movie_genre_stats | 10751 | bigint | nullable=NO | default='0'::bigint
movie_genre_stats | 14 | bigint | nullable=NO | default='0'::bigint
movie_genre_stats | 36 | bigint | nullable=NO | default='0'::bigint
movie_genre_stats | 27 | bigint | nullable=NO | default='0'::bigint
movie_genre_stats | 10402 | bigint | nullable=NO | default='0'::bigint
movie_genre_stats | 9648 | bigint | nullable=NO | default='0'::bigint
movie_genre_stats | 10749 | bigint | nullable=NO | default='0'::bigint
movie_genre_stats | 878 | bigint | nullable=NO | default='0'::bigint
movie_genre_stats | 10770 | bigint | nullable=NO | default='0'::bigint
movie_genre_stats | 53 | bigint | nullable=NO | default='0'::bigint
movie_genre_stats | 10752 | bigint | nullable=NO | default='0'::bigint
movie_genre_stats | 37 | bigint | nullable=NO | default='0'::bigint
movie_genre_stats | id | uuid | nullable=NO | default=gen_random_uuid()
new_episodes | id | uuid | nullable=NO | default=gen_random_uuid()
new_episodes | user_id | uuid | nullable=NO | default=-
new_episodes | tv_id | bigint | nullable=YES | default=-
new_episodes | last_air_date | date | nullable=YES | default=-
new_episodes | season_number | integer | nullable=YES | default=-
new_episodes | episode_number | integer | nullable=YES | default=-
new_episodes | created_at | timestamp with time zone | nullable=NO | default=now()
new_episodes | updated_at | timestamp with time zone | nullable=NO | default=now()
notifications | id | uuid | nullable=NO | default=uuid_generate_v4()
notifications | recipient_id | uuid | nullable=NO | default=-
notifications | triggered_by | uuid | nullable=YES | default=-
notifications | type | text | nullable=NO | default=-
notifications | post_id | uuid | nullable=YES | default=-
notifications | comment_id | uuid | nullable=YES | default=-
notifications | created_at | timestamp with time zone | nullable=YES | default=now()
notifications | read | boolean | nullable=NO | default=false
notifications | media_id | integer | nullable=YES | default=-
notifications | media_type | text | nullable=YES | default=-
notifications | season_number | integer | nullable=YES | default=-
notifications | episode_number | integer | nullable=YES | default=-
posts | id | uuid | nullable=NO | default=uuid_generate_v4()
posts | creatorid | uuid | nullable=YES | default=-
posts | review_user | text | nullable=YES | default=-
posts | vote_user | real | nullable=YES | default=-
posts | created_at | timestamp with time zone | nullable=YES | default=now()
posts | media_id | integer | nullable=YES | default=-
posts | media_type | text | nullable=YES | default=-
posts | total_likes | bigint | nullable=YES | default='0'::bigint
posts | total_comments | bigint | nullable=NO | default='0'::bigint
posts | season_number | integer | nullable=YES | default=-
posts | image_path | text | nullable=YES | default=-
saves | id | uuid | nullable=NO | default=uuid_generate_v4()
saves | user_id | uuid | nullable=YES | default=-
saves | post_id | uuid | nullable=YES | default=-
saves | created_at | timestamp with time zone | nullable=YES | default=now()
tv_genre_stats | id | uuid | nullable=NO | default=gen_random_uuid()
tv_genre_stats | user_id | uuid | nullable=YES | default=-
tv_genre_stats | 10759 | bigint | nullable=NO | default='0'::bigint
tv_genre_stats | 16 | bigint | nullable=NO | default='0'::bigint
tv_genre_stats | 35 | bigint | nullable=NO | default='0'::bigint
tv_genre_stats | 80 | bigint | nullable=NO | default='0'::bigint
tv_genre_stats | 99 | bigint | nullable=NO | default='0'::bigint
tv_genre_stats | 18 | bigint | nullable=NO | default='0'::bigint
tv_genre_stats | 10751 | bigint | nullable=NO | default='0'::bigint
tv_genre_stats | 10762 | bigint | nullable=NO | default='0'::bigint
tv_genre_stats | 9648 | bigint | nullable=NO | default='0'::bigint
tv_genre_stats | 10763 | bigint | nullable=NO | default='0'::bigint
tv_genre_stats | 10764 | bigint | nullable=NO | default='0'::bigint
tv_genre_stats | 10765 | bigint | nullable=NO | default='0'::bigint
tv_genre_stats | 10766 | bigint | nullable=NO | default='0'::bigint
tv_genre_stats | 10767 | bigint | nullable=NO | default='0'::bigint
tv_genre_stats | 10768 | bigint | nullable=NO | default='0'::bigint
tv_genre_stats | 37 | bigint | nullable=NO | default='0'::bigint
user_ip_addresses | id | uuid | nullable=NO | default=gen_random_uuid()
user_ip_addresses | user_id | uuid | nullable=NO | default=-
user_ip_addresses | ip_address | inet | nullable=NO | default=-
user_ip_addresses | label | text | nullable=YES | default=-
user_ip_addresses | is_trusted | boolean | nullable=YES | default=true
user_ip_addresses | created_at | timestamp with time zone | nullable=YES | default=now()
user_ip_addresses | updated_at | timestamp with time zone | nullable=YES | default=now()
user_jellyfin_config | id | uuid | nullable=NO | default=gen_random_uuid()
